"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 20:21:58 UTC 2025","Sat Aug 30 20:22:07 UTC 2025","9332","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","addItemToCartAndCheckMinimalPriceToDeliveryInfo","[WEB] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Москва"" равна ""550"" ₽",""
"passed","Sat Aug 30 20:21:03 UTC 2025","Sat Aug 30 20:21:04 UTC 2025","1047","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.AddItemToBasketTests","addingItemToBasketWithCookies","[API] Добавление товара в корзину для пользователя с куками",""
"passed","Sat Aug 30 20:22:07 UTC 2025","Sat Aug 30 20:22:16 UTC 2025","9032","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","addItemToCartAndCheckMinimalPriceToDeliveryInfo","[WEB] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Сочи"" равна ""900"" ₽",""
"passed","Sat Aug 30 20:23:34 UTC 2025","Sat Aug 30 20:23:42 UTC 2025","7664","","Web Tests","","ru.dostaevsky.tests.web.tests.ProductsPriceInfoTests","bowlsPriceComparisonInSelectedCityTest","[WEB] Отображение цен на боулы за пределами СПБ. В городе ""Новосибирск"" отображаемые на странице цены на боулы равны ценам из словаря",""
"passed","Sat Aug 30 20:22:16 UTC 2025","Sat Aug 30 20:22:26 UTC 2025","9642","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","addItemToCartAndCheckMinimalPriceToDeliveryInfo","[WEB] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Краснодар"" равна ""700"" ₽",""
"passed","Sat Aug 30 20:21:12 UTC 2025","Sat Aug 30 20:21:12 UTC 2025","278","","Rest API Tests","","ru.dostaevsky.tests.api.tests.reviews.GettingReviewsTests","gettingReviewsWithExceedingLimit","[API] Получение отзывов о компании с превышением лимита по отзывам в запросе",""
"passed","Sat Aug 30 20:21:08 UTC 2025","Sat Aug 30 20:21:09 UTC 2025","376","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.UpdateItemCountInBasketTests","updateItemCountInTheBasketWitMaxItemValue","[API] Обновление количества товара в корзине c передачей невалидного значения идентификатора товара",""
"passed","Sat Aug 30 20:19:36 UTC 2025","Sat Aug 30 20:20:10 UTC 2025","33842","","Android Tests","","ru.dostaevsky.tests.android.tests.SearchInfoTests","successfulProductSearchTest","[Android] Проверка результатов поиска. Для города ""Краснодар"", результаты поиска по слову ""пицца"" не равны нулю",""
"passed","Sat Aug 30 20:18:19 UTC 2025","Sat Aug 30 20:18:57 UTC 2025","37777","","Android Tests","","ru.dostaevsky.tests.android.tests.SearchInfoTests","successfulProductSearchTest","[Android] Проверка результатов поиска. Для города ""Москва"", результаты поиска по слову ""пицца"" не равны нулю",""
"passed","Sat Aug 30 20:21:02 UTC 2025","Sat Aug 30 20:21:02 UTC 2025","361","","Rest API Tests","","ru.dostaevsky.tests.api.tests.auth.LoginTests","loginWithIncorrectPhoneNumber","[API] Авторизация в системе с передачей некорректного номера телефона",""
"passed","Sat Aug 30 20:21:31 UTC 2025","Sat Aug 30 20:21:31 UTC 2025","393","","Rest API Tests","","ru.dostaevsky.tests.api.tests.reviews.GettingReviewsTests","gettingReviewsWithoutLimitValue","[API] Получение отзывов о компании без передачи значения количества возвращаемых отзывов",""
"passed","Sat Aug 30 20:11:48 UTC 2025","Sat Aug 30 20:12:20 UTC 2025","31952","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","checkInfoInEmptyCart","[Android] Отображение информации в пустой корзине",""
"passed","Sat Aug 30 20:16:20 UTC 2025","Sat Aug 30 20:16:52 UTC 2025","31267","","Android Tests","","ru.dostaevsky.tests.android.tests.CityInfoTests","selectingCityFromTheListAvailableAndCheckingDisplayInfoTest","[Android] Выбор и отображение информации города. Для города ""Сочи"" отображается информация с контактным номером телефона ""+7 (862) 296-78-78""",""
"passed","Sat Aug 30 20:23:05 UTC 2025","Sat Aug 30 20:23:10 UTC 2025","5331","","Web Tests","","ru.dostaevsky.tests.web.tests.CityInfoTests","selectCityFromTheListAvailableAndCheckDisplayInfoTest","[WEB] Выбор и отображение информации города. Для города ""Новосибирск"" отображается информация по ссылке ""https://nsk.dostaevsky.ru/"" с контактным номером телефона ""8 (383) 207-87-78""",""
"passed","Sat Aug 30 20:21:04 UTC 2025","Sat Aug 30 20:21:05 UTC 2025","658","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.BasketInfoTests","gettingEmptyBasketInfo","[API] Получение информации о пустой корзине",""
"passed","Sat Aug 30 20:10:25 UTC 2025","Sat Aug 30 20:11:08 UTC 2025","43439","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","addItemToCartAndCheckValueInNotificationTest","[Android] Добавление позиции в корзину и проверка отображения цены, количества и наименования товара в уведомлении",""
"passed","Sat Aug 30 20:13:01 UTC 2025","Sat Aug 30 20:13:36 UTC 2025","34666","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","checkMinimalPriceToDeliveryInfo","[Android] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Москва"" равна ""550"" ₽",""
"passed","Sat Aug 30 20:14:10 UTC 2025","Sat Aug 30 20:14:43 UTC 2025","33342","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","checkMinimalPriceToDeliveryInfo","[Android] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Краснодар"" равна ""700"" ₽",""
"passed","Sat Aug 30 20:21:09 UTC 2025","Sat Aug 30 20:21:12 UTC 2025","3182","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.UpdateItemCountInBasketTests","updateItemCountInTheBasket","[API] Обновление количества товара в корзине",""
"passed","Sat Aug 30 20:22:54 UTC 2025","Sat Aug 30 20:22:59 UTC 2025","5365","","Web Tests","","ru.dostaevsky.tests.web.tests.CityInfoTests","selectCityFromTheListAvailableAndCheckDisplayInfoTest","[WEB] Выбор и отображение информации города. Для города ""Сочи"" отображается информация по ссылке ""https://sochi.dostaevsky.ru/"" с контактным номером телефона ""8 (862) 296-78-78""",""
"passed","Sat Aug 30 20:12:20 UTC 2025","Sat Aug 30 20:13:01 UTC 2025","41429","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","checkMinimalPriceToDeliveryInfo","[Android] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Санкт-Петербург"" равна ""500"" ₽",""
